,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp
3512,0.0,18801.652030512432,1589.9192744949628,5430.534682135839,-0.0,236.59203458059264,0.0,300.95257397622674,17.997749164579226,249.64224633569694,-0.0,10.876160532060593,0.0,959.9797408212287,36.76535469334611,4637.06393446885,-0.0,202.0229047326118,75.02503125717558,23.88982224737391,12.74123853193275,11.148583715441157
3513,0.0,23458.080953661378,1981.0637661313597,6798.421481496646,-0.0,296.093074696772,0.0,596.6937364051666,35.665300578470486,326.36550195734446,-0.0,14.214265063223436,0.0,1040.8968026561158,39.841630920112195,4058.8790479700087,-0.0,176.77720929876415,135.26545890627617,35.38887324125713,18.874065728670466,16.51480751258666
3514,0.0,26355.248193960844,2222.21099917758,8093.5387580072975,-0.0,352.3684779388417,0.0,1126.2057112471475,67.27248150922681,303.8911922659553,-0.0,13.230513880202764,0.0,1335.4668239415441,51.081400642737016,3671.4110437781533,-0.0,159.84225937066867,198.5406992710958,45.70620464385785,24.376642476724175,21.329562167133655
3515,0.0,27981.403681528307,2353.5066804342496,8070.678278299167,-0.0,351.17503997680046,0.0,2277.296247880217,135.89485611604562,351.53589596947364,-0.0,15.296190489007637,0.0,1703.2307358476023,65.07730146815412,2950.5720062917517,-0.0,128.38663697573364,251.9255463215133,53.57024110967286,28.570795258492186,24.999445851180663
3516,0.0,29361.243990330022,2465.083812911525,7989.787644146881,-0.0,347.51515899038867,0.0,3462.748807336013,206.47979350544492,313.53864042466483,-0.0,13.637337477502129,0.0,2054.2527118587777,78.42539341379175,2566.3728334295147,-0.0,111.62417613079134,311.2380560786821,61.678990612532594,32.89546166001738,28.783528952515212
3517,0.0,30595.958337717486,2563.0867895819288,7969.701401020091,-0.0,346.47624563850707,0.0,4530.163655902547,269.87751687456506,301.3545780241318,-0.0,13.101143637127153,0.0,2278.887493704,86.91432242786293,2277.134405591025,-0.0,98.99655457135019,370.16855948217494,69.23756953071687,36.92670374971568,32.310865781001205
3518,0.0,31257.038957194996,2612.370739299552,7938.215007901125,-0.0,344.93858149311546,0.0,2229.339073500292,132.6766821808996,248.01052344135158,-0.0,10.776780178676967,0.0,2287.4231745384695,87.14646642529459,1989.101819023135,-0.0,86.43227214383883,318.71352553874596,62.66270301351115,33.420108273872614,29.242594739638534
3519,0.0,25701.56776209372,2147.653602367331,7936.392836556423,-0.0,344.84589475609107,0.0,1086.8004154774314,64.67442745880689,221.85630326636567,-0.0,9.639925465227396,0.0,2201.7707405424167,83.87590867675608,2270.7676718603134,-0.0,98.6676095440917,185.5027657401655,43.682657797875976,23.297417492200523,20.38524030567546
3520,0.0,26198.96329507488,2193.6782990431243,7955.789892918036,-0.0,345.83585883698254,0.0,927.0887859870803,55.21848670661583,234.61855463646705,-0.0,10.198799922308355,0.0,2432.336497605577,92.74616064509675,2652.8620572727086,-0.0,115.31913742086596,199.37394813828425,45.83399726132016,24.44479853937074,21.389198721949402
3521,0.0,26031.46444557924,2180.7606852131275,6545.015911678803,-0.0,284.5406282593172,0.0,542.8897800396282,32.34214340974086,143.63276124583055,-0.0,6.244347863323393,0.0,2715.867937242158,103.5813930280557,3503.0090793371123,-0.0,152.29121176834656,189.79998291262206,44.35469266561294,23.655836088326907,20.698856577286044
